"bmicat","gawk","mu","sigma","nu","tau","P1","P2.3","P3","P5","P10","P16","P20","P25","P50","P75","P80","P84","P90","P95","P97","P97.7","P99"
"overweight",26,6.0672,4.0941,1.2951,6.058,-2.56,-1.05,-0.58,0.32,1.56,2.47,2.94,3.45,5.64,8.27,9,9.7,11.12,13.17,14.69,15.5,18.13
"overweight",27,6.5119,4.1656,1.2989,6.8254,-2.23,-0.75,-0.29,0.6,1.86,2.79,3.28,3.81,6.09,8.81,9.56,10.28,11.73,13.78,15.29,16.08,18.63
"overweight",28,6.9495,4.2417,1.3028,7.7295,-1.9,-0.47,-0.01,0.89,2.16,3.11,3.61,4.15,6.52,9.34,10.11,10.85,12.32,14.39,15.88,16.66,19.14
"overweight",29,7.3797,4.3226,1.3066,8.7945,-1.6,-0.19,0.27,1.16,2.45,3.42,3.93,4.49,6.95,9.86,10.65,11.41,12.91,14.99,16.47,17.24,19.66
"overweight",30,7.8036,4.4084,1.3102,10.049,-1.31,0.08,0.53,1.43,2.73,3.73,4.25,4.83,7.37,10.38,11.19,11.96,13.49,15.58,17.07,17.83,20.19
"overweight",31,8.2222,4.4991,1.3135,11.5278,-1.04,0.34,0.79,1.69,3.01,4.02,4.56,5.16,7.78,10.88,11.72,12.51,14.06,16.18,17.66,18.41,20.75
"overweight",32,8.6368,4.5951,1.3166,13.2723,-0.78,0.58,1.03,1.94,3.28,4.32,4.87,5.48,8.19,11.39,12.24,13.05,14.63,16.77,18.26,19.01,21.32
"overweight",33,9.0483,4.6963,1.3192,15.3313,-0.54,0.82,1.27,2.18,3.54,4.61,5.17,5.8,8.6,11.89,12.77,13.59,15.21,17.37,18.87,19.62,21.91
"overweight",34,9.4576,4.8028,1.3214,17.7629,-0.32,1.04,1.5,2.42,3.8,4.89,5.47,6.12,9,12.39,13.29,14.13,15.78,17.98,19.48,20.24,22.52
"overweight",35,9.8654,4.9147,1.3231,20.6366,-0.11,1.25,1.71,2.65,4.06,5.17,5.77,6.43,9.4,12.88,13.81,14.68,16.36,18.59,20.11,20.87,23.15
"overweight",36,10.2716,5.0319,1.3242,24.0343,0.08,1.45,1.92,2.87,4.31,5.45,6.06,6.75,9.8,13.38,14.33,15.22,16.94,19.21,20.74,21.51,23.8
"overweight",37,10.6753,5.1543,1.3249,28.0525,0.26,1.64,2.11,3.08,4.55,5.72,6.35,7.05,10.2,13.88,14.85,15.76,17.52,19.83,21.39,22.16,24.46
